Date,.SSEC,.VHSI,.SSE180VWI,.CSI000952,.CSI300FS
1/2/1992,293.75,,,,
1/3/1992,296.52,,,,
1/6/1992,297.68,,,,
1/7/1992,298.77,,,,
1/8/1992,299.66,,,,
1/9/1992,300.62,,,,
1/10/1992,301.83,,,,
1/13/1992,303.06,,,,
1/14/1992,305.74,,,,
1/15/1992,306.63,,,,
1/16/1992,306.85,,,,
1/17/1992,307.38,,,,
1/20/1992,307.39,,,,
1/21/1992,307.87,,,,
1/22/1992,307.95,,,,
1/23/1992,308.53,,,,
1/24/1992,309.05,,,,
1/27/1992,311.61,,,,
1/28/1992,311.84,,,,
1/29/1992,312.42,,,,
1/30/1992,312.73,,,,
1/31/1992,313.24,,,,
2/3/1992,314.18,,,,
2/7/1992,314.72,,,,
2/10/1992,315.56,,,,
2/11/1992,316.43,,,,
2/12/1992,316.44,,,,
2/13/1992,317.04,,,,
2/14/1992,319.68,,,,
2/17/1992,319.77,,,,
2/18/1992,337.11,,,,
2/19/1992,342.41,,,,
2/20/1992,347.99,,,,
2/21/1992,359.59,,,,
2/24/1992,360.5,,,,
2/25/1992,360.37,,,,
2/26/1992,360.1,,,,
2/27/1992,362.45,,,,
2/28/1992,364.66,,,,
3/2/1992,365.39,,,,
3/3/1992,367,,,,
3/4/1992,368.32,,,,
3/5/1992,369.76,,,,
3/6/1992,371.76,,,,
3/9/1992,373.53,,,,
3/10/1992,375.23,,,,
3/11/1992,376.14,,,,
3/12/1992,376.92,,,,
3/13/1992,376.38,,,,
3/16/1992,377.05,,,,
3/17/1992,377.49,,,,
3/18/1992,377.66,,,,
3/19/1992,377.31,,,,
3/20/1992,377.99,,,,
3/23/1992,378.89,,,,
3/24/1992,378.69,,,,
3/25/1992,378.12,,,,
3/26/1992,379.13,,,,
3/27/1992,380.77,,,,
3/30/1992,381.44,,,,
3/31/1992,381.24,,,,
4/1/1992,381.01,,,,
4/2/1992,381.12,,,,
4/3/1992,381.33,,,,
4/6/1992,381.47,,,,
4/7/1992,381.93,,,,
4/8/1992,382.43,,,,
4/9/1992,381.65,,,,
4/10/1992,382.03,,,,
4/13/1992,391.11,,,,
4/14/1992,400.61,,,,
4/15/1992,406.72,,,,
4/16/1992,410.55,,,,
4/17/1992,414.42,,,,
4/20/1992,413.85,,,,
4/21/1992,410.06,,,,
4/22/1992,399.88,,,,
4/23/1992,407.25,,,,
4/24/1992,414.4,,,,
4/27/1992,424.58,,,,
4/28/1992,436.09,,,,
4/29/1992,444.16,,,,
4/30/1992,445.38,,,,
5/4/1992,453.62,,,,
5/5/1992,449.21,,,,
5/6/1992,449.96,,,,
5/7/1992,454.65,,,,
5/8/1992,468.11,,,,
5/11/1992,491.5,,,,
5/12/1992,506.53,,,,
5/13/1992,514.04,,,,
5/14/1992,523.36,,,,
5/15/1992,544.35,,,,
5/18/1992,571.82,,,,
