Date,SHICNYOND=,SHICNY3MD=,Spread
10/8/2006,2.1184,2.611,0.49260000000000037
10/9/2006,2.099,2.6248,0.5257999999999998
10/10/2006,2.0922,2.6325,0.5402999999999998
10/11/2006,2.0955,2.6338,0.5383
10/12/2006,2.0943,2.638,0.5436999999999999
10/13/2006,2.0889,2.642,0.5530999999999997
10/16/2006,2.0801,2.6459,0.5658000000000003
10/17/2006,2.0746,2.6484,0.5737999999999999
10/18/2006,2.0723,2.6483,0.5760000000000001
10/19/2006,2.0667,2.6483,0.5815999999999999
10/20/2006,2.0665,2.6482,0.5817000000000001
10/23/2006,2.0573,2.648,0.5907
10/24/2006,2.0569,2.6481,0.5911999999999997
10/25/2006,2.0592,2.648,0.5888
10/26/2006,2.117,2.6479,0.5308999999999999
10/27/2006,2.1568,2.6479,0.49109999999999987
10/30/2006,2.16,2.6479,0.4878999999999998
10/31/2006,2.1885,2.6479,0.45940000000000003
11/1/2006,2.2023,2.6479,0.4455999999999998
11/2/2006,2.2057,2.6479,0.4421999999999997
11/3/2006,2.2055,2.6479,0.4424000000000001
11/6/2006,2.2312,2.6557,0.4245000000000001
11/7/2006,2.3023,2.683,0.38070000000000004
11/8/2006,2.4264,2.7082,0.28180000000000005
11/9/2006,2.5177,2.7236,0.20589999999999975
11/10/2006,2.6198,2.7401,0.12029999999999985
11/13/2006,2.8071,2.7551,-0.052
11/14/2006,3.6074,2.7707,-0.8367
11/15/2006,3.5355,2.775,-0.7605
11/16/2006,3.2292,2.7764,-0.4528
11/17/2006,3.1918,2.7774,-0.4144
11/20/2006,3.2645,2.7825,-0.482
11/21/2006,3.4289,2.7895,-0.6394
11/22/2006,3.5158,2.7916,-0.7242
11/23/2006,3.5399,2.7952,-0.7447
11/24/2006,3.5101,2.8028,-0.7073
11/27/2006,3.205,2.8018,-0.4032
11/28/2006,2.7744,2.8023,0.027899999999999814
11/29/2006,2.5547,2.8038,0.24909999999999988
11/30/2006,2.4161,2.8054,0.3893
12/1/2006,2.337,2.8086,0.4716
12/4/2006,2.1803,2.809,0.6287000000000003
12/5/2006,2.1095,2.8096,0.7001
12/6/2006,2.064,2.8093,0.7452999999999999
12/7/2006,2.0063,2.8094,0.8031000000000001
12/8/2006,1.9919,2.8096,0.8177000000000001
12/11/2006,1.9914,2.8089,0.8174999999999999
12/12/2006,1.9181,2.808,0.8898999999999999
12/13/2006,1.8931,2.808,0.9148999999999998
12/14/2006,1.8589,2.8079,0.9490000000000001
12/15/2006,1.7777,2.8073,1.0296
12/18/2006,1.7247,2.8076,1.0829
12/19/2006,1.6566,2.8072,1.1505999999999998
12/20/2006,1.613,2.8066,1.1936
12/21/2006,1.6015,2.8069,1.2054000000000002
12/22/2006,1.6311,2.807,1.1759
12/25/2006,1.6123,2.8072,1.1948999999999999
12/26/2006,1.6431,2.8073,1.1642000000000001
12/27/2006,1.7185,2.8076,1.0891
12/28/2006,1.7107,2.8079,1.0972
12/29/2006,1.7203,2.808,1.0877
12/30/2006,1.5651,2.8081,1.243
12/31/2006,1.5675,2.8082,1.2407
1/4/2007,1.431,2.8077,1.3767
1/5/2007,1.4047,2.8079,1.4032
1/8/2007,1.3721,2.808,1.4358999999999997
1/9/2007,1.3546,2.8083,1.4537
1/10/2007,1.3519,2.8082,1.4562999999999997
1/11/2007,1.3344,2.8081,1.4737
1/12/2007,1.3051,2.8079,1.5028000000000001
1/15/2007,1.2997,2.8078,1.5080999999999998
1/16/2007,1.2809,2.8079,1.5270000000000001
1/17/2007,1.3171,2.8079,1.4908000000000001
1/18/2007,1.4236,2.808,1.3843999999999999
1/19/2007,1.4126,2.808,1.3953999999999998
1/22/2007,1.4197,2.8081,1.3884
1/23/2007,1.5972,2.8081,1.2109
1/24/2007,1.7079,2.8082,1.1002999999999998
1/25/2007,1.7541,2.8082,1.0540999999999998
1/26/2007,1.7889,2.8082,1.0192999999999999
1/29/2007,1.783,2.8082,1.0252
1/30/2007,1.7838,2.8083,1.0245
1/31/2007,1.778,2.8083,1.0303
2/1/2007,1.7602,2.8083,1.0481
2/2/2007,1.7549,2.8083,1.0534000000000001
2/5/2007,1.7593,2.8084,1.0490999999999997
2/6/2007,1.7848,2.8085,1.0237
2/7/2007,1.8392,2.8153,0.9761000000000002
2/8/2007,1.8983,2.8204,0.9220999999999997
2/9/2007,2.7851,2.8433,0.0582
2/12/2007,4.0016,2.8757,-1.1259
2/13/2007,3.3685,2.8745,-0.494
2/14/2007,4.0174,2.8772,-1.1402
2/15/2007,3.0934,2.8792,-0.2142
2/16/2007,1.994,2.8727,0.8787
2/17/2007,1.5143,2.865,1.3507000000000002
2/25/2007,1.8147,2.8654,1.0507000000000002
2/26/2007,1.792,2.8637,1.0717
2/27/2007,1.6928,2.8616,1.1688
2/28/2007,1.6526,2.8539,1.2012999999999998
3/1/2007,1.5903,2.8468,1.2565
3/2/2007,1.5194,2.8394,1.3199999999999998
3/5/2007,1.4999,2.8332,1.3333000000000002
3/6/2007,1.4683,2.8292,1.3609000000000002
3/7/2007,1.4375,2.8247,1.3872
3/8/2007,1.4153,2.8231,1.4078000000000002
3/9/2007,1.3952,2.8217,1.4264999999999999
3/12/2007,1.38,2.8215,1.4415
3/13/2007,1.3643,2.8211,1.4567999999999999
3/14/2007,1.3535,2.8203,1.4668
3/15/2007,1.3513,2.821,1.4697000000000002
3/16/2007,1.4088,2.8214,1.4126
3/19/2007,1.5313,2.8335,1.3021999999999998
3/20/2007,1.5551,2.8357,1.2806000000000002
3/21/2007,1.6077,2.8401,1.2324000000000002
3/22/2007,1.6487,2.8447,1.196
3/23/2007,1.6871,2.848,1.1608999999999998
3/26/2007,1.7466,2.8499,1.1033
3/27/2007,1.7397,2.854,1.1143
3/28/2007,1.8016,2.8574,1.0558
3/29/2007,1.8039,2.8592,1.0553
3/30/2007,1.8057,2.861,1.0553000000000001
4/2/2007,1.8019,2.8643,1.0624
4/3/2007,1.7945,2.8643,1.0698
4/4/2007,1.7932,2.8652,1.0720000000000003
4/5/2007,1.8913,2.8656,0.9743000000000002
4/6/2007,1.9959,2.8695,0.8735999999999999
4/9/2007,2.0004,2.8779,0.8775
4/10/2007,2.011,2.8822,0.8712
4/11/2007,2.031,2.8873,0.8563000000000001
4/12/2007,2.0319,2.8894,0.8575000000000004
4/13/2007,2.1153,2.8904,0.7751000000000001
4/16/2007,2.4598,2.8932,0.43340000000000023
4/17/2007,2.465,2.9016,0.4366000000000003
4/18/2007,2.4762,2.9049,0.4287000000000001
4/19/2007,3.0403,2.9379,-0.1024
4/20/2007,3.3562,2.9532,-0.403
4/23/2007,3.3857,2.9651,-0.4206
4/24/2007,3.501,2.9721,-0.5289
4/25/2007,3.5071,2.976,-0.5311
4/26/2007,3.019,2.9737,-0.0453
4/27/2007,2.5129,2.9745,0.4615999999999998
4/28/2007,1.9807,2.9685,0.9878000000000002
4/29/2007,1.671,2.9601,1.2891000000000001
4/30/2007,1.6303,2.9574,1.3270999999999997
5/8/2007,1.6507,2.955,1.3043
5/9/2007,1.6777,2.9532,1.2754999999999999
5/10/2007,1.7021,2.9553,1.2531999999999999
5/11/2007,1.9034,2.959,1.0556
5/14/2007,2.0008,2.9699,0.9691000000000001
5/15/2007,1.9204,2.9695,1.0491
5/16/2007,1.9246,2.9669,1.0422999999999998
5/17/2007,1.9076,2.9634,1.0558
5/18/2007,1.8502,2.9629,1.1126999999999998
5/21/2007,1.8403,2.9826,1.1423
5/22/2007,1.8086,3.0017,1.1931
5/23/2007,1.8002,3.0196,1.2194
5/24/2007,1.7905,3.0327,1.2422000000000002
5/25/2007,1.809,3.038,1.2289999999999999
5/28/2007,1.7965,3.0424,1.2459000000000002
5/29/2007,1.7925,3.0445,1.2520000000000002
5/30/2007,1.7967,3.0459,1.2492
5/31/2007,1.7986,3.0472,1.2486000000000002
6/1/2007,2.1005,3.0472,0.9467000000000003
6/4/2007,2.0487,3.0502,1.0014999999999996
6/5/2007,2.0477,3.0519,1.0042
6/6/2007,2.0179,3.0544,1.0364999999999998
6/7/2007,1.9837,3.0501,1.0664
6/8/2007,1.927,3.0486,1.1216
6/11/2007,1.8869,3.0495,1.1626
6/12/2007,1.8618,3.0503,1.1885000000000001
6/13/2007,1.8285,3.0522,1.2237
6/14/2007,1.8359,3.0553,1.2193999999999998
6/15/2007,1.9088,3.0573,1.1485
6/18/2007,2.5378,3.0585,0.5207000000000002
6/19/2007,2.604,3.061,0.45699999999999985
6/20/2007,2.6731,3.0633,0.3902000000000001
6/21/2007,2.3304,3.0664,0.7359999999999998
6/22/2007,2.1041,3.0708,0.9667000000000003
6/25/2007,1.9006,3.0766,1.176
6/26/2007,1.7917,3.0781,1.2864
6/27/2007,1.7241,3.078,1.3538999999999999
6/28/2007,1.6741,3.0827,1.4086
6/29/2007,1.7784,3.0868,1.3084000000000002
7/2/2007,1.7867,3.1032,1.3165000000000002
7/3/2007,2.3693,3.1051,0.7358000000000002
7/4/2007,2.3407,3.1073,0.7666
7/5/2007,2.3226,3.1094,0.7867999999999999
7/6/2007,2.3088,3.1135,0.8047
7/9/2007,2.2445,3.1236,0.8791000000000002
7/10/2007,2.6546,3.1241,0.46950000000000003
7/11/2007,2.579,3.1326,0.5535999999999999
7/12/2007,2.5502,3.1339,0.5837000000000003
7/13/2007,2.5338,3.1376,0.6038000000000001
7/16/2007,2.4398,3.1394,0.6996000000000002
7/17/2007,2.3874,3.1408,0.7534000000000001
7/18/2007,2.1915,3.1421,0.9506000000000001
7/19/2007,1.9627,3.1422,1.1795
7/20/2007,1.8821,3.1421,1.26
7/23/2007,1.8488,3.167,1.3181999999999998
7/24/2007,1.8565,3.1822,1.3256999999999999
7/25/2007,1.8441,3.1883,1.3441999999999998
7/26/2007,1.8207,3.1904,1.3697
7/27/2007,1.851,3.1934,1.3424
7/30/2007,1.8368,3.1938,1.357
7/31/2007,2.0376,3.1924,1.1548000000000003
8/1/2007,2.0267,3.1948,1.1681
8/2/2007,1.9919,3.193,1.2011
